station_name,latitude,longitude
KASTURI,27.1407595,81.7519007
Kathgodam,29.266646,79.5466346
KATHOLA,27.1437209,81.8713886
Katni,23.8347633,80.4006981
Katpadi Jn,12.9721529,79.1376369
Kauriaa Jungle,26.8771857,83.301889
KAUWAPUR,27.5141949,82.2967064
Khaertabad,17.41134151,78.46645989
Khalilabad,26.7751208,83.05424
Khandwa,21.8237021,76.3532291
KHIRI TOWN,27.90270833,80.78908356
KHUDAGANJ,25.0841483,85.2238201
Khudiram B Pusa,25.90996566,85.67218605
KHUDLAPUR,27.09012489,79.76478293
Khurhand,25.3653583,80.4788064
Khurja Jn,28.20783904,77.81875313
Kichha,28.9129428,79.519706
Kirihrapur,26.0437528,83.7354904
Kunda Harnamgnj,25.71474144,81.50925328
KUSUMBHI,26.6392788,80.6540056
Lachhmanpur,26.0505885,81.2575296
LAIBURWA HALT,27.5265486,82.4677438
Lakhimpur,27.9471314,80.7772637
Laksar Jn,29.7515434,78.0212446
LAKSHMANPUR HALT,27.5317023,82.339771
Lal Kuan,28.633381,77.4737197
Lalgopalganj,25.6422418,81.6299243
Lalitpur Jn,24.6878726,78.3957263
Lambhua,26.1341501,82.2234821
Lar Road,26.2137198,83.910233
LEHRA,27.1685671,83.2284212
LOHARPURWA,27.06736,83.2681358
Lucknow City,26.8593065,80.9180893
Lucknow Ne,26.8381,80.9346001
Lucknow Nr,26.8381,80.9346001
MA BELHADEVI DP,25.92251756,81.99775071
MA CHANDIKA D D,25.93156395,81.98560153
MAGARWARA,26.52454,80.4312287
Maghar,26.7501661,83.133671
Mahadeva Buzrug,27.42931547,82.76416891
MAHAWAN KHOR HALT,26.97495688,83.27788285
Mahtha Bazar,27.4250903,82.9304185
Maihar,24.2567489,80.7637341
MAIJAPUR,27.1439488,81.8060051
Mailani,28.2845513,80.3477245
Mairwa,26.2398378,84.1513896
Majhagawan,24.9138307,80.8118892
Malhour,26.85890652,81.04075035
Malikpur,27.2403553,75.6461932
MANAK NAGAR,26.8106778,80.8909379
Mandhana Jn,26.5570563,80.2227554
Mandi Dhanaura,28.9528324,78.2614111
Mani Mau,26.9892954,79.9654104
Manikpur,25.0632145,81.0940561
MANIRAM,26.8403144,83.3408167
Mankapur Jn,27.0393643,82.226676
Manmad Jn,20.2501817,74.439395
MANWA,27.2117501,80.851176
Maskanwa,27.0013792,82.3597396
Mau Jn,25.9380732,83.5633778
Meerut City,28.9789661,77.6756994
MOHIBULLAPUR,26.9096328,80.9395109
Moradabad,28.8313915,78.7654415
Moth,25.7410334,78.9486714
Munderwa,26.7768042,82.9034154
Musafir Khana,26.3794882,81.7996547
Muzaffarpur Jn,26.1223553,85.3779498
Muzzampur Nryn,29.58374812,78.22287595
Nagina,29.4382695,78.4237154
Nagpur,21.1523731,79.0882365
Najibabad Jn,29.6037056,78.3363926
NAKAHA JUNGLE,26.8021864,83.3604222
NARTHAR,27.6322655,79.0229694
Nashik Road,19.9480582,73.8420837
Naugarh,27.2748041,83.088518
New Delhi,28.6402816,77.2204103
Nigohan,26.5675416,81.0459214
OEL,27.8309754,80.7537023
Orai,25.9827679,79.4597648
PACHPERWA,27.5299495,82.6390221
Panki Dham,26.4595614,80.2390699
Pantnagar,29.0174939,79.5180842
Pariawan K.k.rd,25.82544109,81.36887642
PARSA,27.4442274,82.8892396
Parsehra Mal,27.7218365,80.7298095
PATIALI,27.6841812,78.9839974
Patliputra,25.6216198,85.0688695
PEPPEGANJ,26.930569,83.294438
Perambur,13.1082594,80.2515158
Phaphamau Jn,25.5256563,81.8671297
Phaphund,26.6324444,79.5545165
PHARADAHAN,25.9078369,81.34146149
Pindra Road,25.4946608,82.8529058
Piparsand,26.7418222,80.7968152
Pokhrayan,26.2234404,79.8411177
Prayag,25.4690487,81.8674698
Prayagraj Jn.,25.4454322,81.825958
Prayagrajsangam,25.42594285,81.90593791
Rae Bareli Jn,26.2313438,81.2403133
RAFINAGAR,27.0022081,81.2961402
Ragaul,25.6862425,80.1290631
RAMCHAURA,26.9959139,83.2690049
Rampur,25.3442458,88.630823
Rani Kamalapati,23.2212714,77.4383506
Rawat Ganj,26.9565877,83.2860341
Rawatpur,26.4828664,80.3000734
RAZAGANJ,28.0236618,80.5680724
Roorkee,29.8520559,77.8748206
Rudain,27.5806112,79.1845526
Rura,26.4852935,79.9080474
Sadat,25.6735452,83.3089207
Safedabad,26.8980333,81.1167756
Saharanpur,29.9614586,77.5412397
Sahawar Town,27.79405921,78.83132447
Sahjanwa,26.7636848,83.2149382
Salempur Jn,26.2978301,83.9235875
Samastipur Jn,25.8592825,85.7866355
SARJU,27.1117719,81.6350483
Sarnath,25.376132,83.0325919
Satna,24.5677309,80.8286814
Seohara,29.204564,78.5805278
Sewapuri,25.3508182,82.7692534
Shahjehanpur,27.89331887,79.90676538
SHAMSABAD,27.4696663,79.4380567
Shikohabad Jn,27.08649323,78.57624308
Shohratgarh,27.3920641,82.9568893
SHUKARULLAHPUR,27.449096,79.4697105
Sidhauli,27.2844247,80.8376003
Sihapar,26.7583219,83.1651848
Sihora Road,23.4669937,80.1098326
SINGHIRAMPUR,27.23651692,79.66728469
Sitapur,27.5573731,80.6994313
Siwan Jn,26.2106493,84.3585631
Sonik,26.586191,80.559833
Sonpur Jn,25.6972618,85.1669651
Srikrishn Nagar,25.88372862,82.44913743
SUBHAGPUR,27.1728313,81.9767251
Sultanpur,28.4991235,77.1613745
SURAINCHA,27.3273599,80.8296108
TRILOKPUR,27.5066725,82.7090288
Tulsipur,27.5318766,82.4090082
Tundla Jn,27.2080865,78.2330444
Unchahar Jn,25.9032351,81.2999494
Unchhera,24.380846,80.7942136
Unnao Jn,26.5492382,80.4874371
Uska Bazar,27.1931416,83.1161288
UTRIPURA,26.7402167,80.0959955
V Lakshmibai Jhansi Jhs,25.44477539,78.55315499
Varanasi City,25.3343367,83.0142751
Varanasi Jn,25.3275678,82.986245
Vijayawada Jn,16.5204153,80.6196802
Warangal,17.9732956,79.6056068
Yamuna Bdg Agra,27.19226945,78.03993025
Yamunanagar Jud,30.11752825,77.28844597
YAQUTGANJ,27.32247594,79.62222463
Yesvantpur Jn,13.0237734,77.5507701
